date,description,amount,type,category,merchant,city
2024-07-06,flipkart shopping order,1580,credit,shopping,PlayStation,Delhi
2024-02-24,gaming purchase,1030,debit,shopping,Amazon,Hyderabad
2024-02-11,restaurant dinner,250,debit,food,Steam,Chennai
2024-10-19,concert tickets,480,credit,food,Swiggy,Hyderabad
2024-08-26,supermarket shopping,1610,credit,fuel,Shell,Chennai
2024-01-31,pharmacy medicine purchase,590,debit,bills,Blinkit,Delhi
2024-03-07,electricity bill payment,2020,debit,bills,Insider,Hyderabad
2024-11-16,netflix subscription,2480,debit,fuel,Apple Music,Delhi
2024-09-22,netflix subscription,800,debit,subscription,IndianOil,Delhi
2024-04-24,movie ticket booking,2030,debit,shopping,Flipkart,Delhi
2024-05-08,uber ride,1430,debit,transport,1mg,Bangalore
2024-09-25,diesel refill,1800,credit,transport,IRCTC,Pune
2024-07-11,pharmacy medicine purchase,3290,debit,shopping,BookMyShow,Pune
2024-03-20,ola cab ride,400,credit,transport,Netflix,Mumbai
2024-12-04,prime video subscription,380,credit,subscription,Zomato,Delhi
2024-03-22,amazon purchase,410,credit,shopping,Netflix,Pune
2024-03-12,uber ride,1250,credit,transport,Zomato,Delhi
2024-12-30,diesel refill,870,debit,grocery,Blinkit,Pune
2024-06-14,netflix subscription,300,debit,subscription,HPCL,Chennai
2024-07-22,gaming purchase,60,credit,subscription,Spotify,Mumbai
2024-06-19,amazon purchase,2170,credit,shopping,TSSPDCL,Pune
2024-06-20,grocery store purchase,80,credit,shopping,JioFiber,Chennai
2024-09-11,ola cab ride,1150,credit,grocery,IRCTC,Bangalore
2024-10-19,gaming purchase,340,credit,subscription,Spotify,Mumbai
2024-07-31,internet bill payment,2600,credit,fuel,Jio,Hyderabad
2024-10-08,movie ticket booking,1860,debit,grocery,BigBasket,Chennai
2024-04-11,gaming purchase,710,credit,subscription,Netflix,Chennai
2024-10-14,uber ride,410,debit,transport,D-Mart,Pune
2024-07-28,mobile recharge,100,credit,grocery,Reliance Smart,Pune
2024-01-19,swiggy food order,1310,credit,food,Blinkit,Hyderabad
2024-10-23,flipkart shopping order,350,debit,subscription,BPCL,Hyderabad
2024-10-30,ola cab ride,2600,debit,fuel,IRCTC,Chennai
2024-10-07,flipkart shopping order,240,credit,shopping,Steam,Mumbai
2024-10-01,internet bill payment,710,debit,bills,MSEDCL,Pune
2024-02-22,bus ticket,2770,debit,transport,Spotify,Delhi
2024-02-05,swiggy food order,1940,debit,food,Blinkit,Pune
2024-11-21,supermarket shopping,470,credit,bills,Airtel,Delhi
2024-03-13,zomato food delivery,1510,debit,food,BookMyShow,Bangalore
2024-11-27,prime video subscription,2570,credit,subscription,Insider,Bangalore
2024-03-19,petrol pump fuel,1640,credit,entertainment,Netflix,Mumbai
2024-08-21,swiggy food order,1840,credit,food,Apollo Pharmacy,Mumbai
2024-10-22,internet bill payment,4870,credit,bills,Jio,Mumbai
2024-08-14,movie ticket booking,900,credit,shopping,Flipkart,Pune
2024-05-27,mobile recharge,200,credit,shopping,Amazon,Delhi
2024-04-16,electricity bill payment,1010,debit,bills,Uber,Delhi
2024-12-10,flipkart shopping order,470,credit,shopping,Netflix,Hyderabad
2024-12-19,uber ride,870,debit,transport,Apollo Pharmacy,Mumbai
2024-09-07,electricity bill payment,450,credit,bills,Insider,Delhi
2024-06-02,internet bill payment,1670,credit,bills,Zomato,Pune
2024-11-06,movie ticket booking,590,credit,food,BESCOM,Mumbai
2024-06-19,bus ticket,850,credit,subscription,Reliance Smart,Pune
2024-06-28,pharmacy medicine purchase,1690,debit,bills,ACT Fibernet,Mumbai
2024-01-18,spotify premium,290,debit,subscription,Uber,Pune
2024-05-02,internet bill payment,110,debit,bills,Flipkart,Hyderabad
2024-05-04,pharmacy medicine purchase,750,credit,transport,RedBus,Pune
2024-04-17,restaurant dinner,1960,debit,fuel,Disney+,Pune
2024-04-23,train booking,2800,debit,subscription,Disney+,Bangalore
2024-02-20,netflix subscription,1080,debit,subscription,Insider,Chennai
2024-08-27,bus ticket,3220,debit,transport,BPCL,Hyderabad
2024-12-22,mobile recharge,2140,credit,fuel,HPCL,Hyderabad
2024-01-10,petrol pump fuel,3770,credit,shopping,Disney+,Bangalore
2024-03-06,internet bill payment,1860,debit,bills,1mg,Pune
2024-12-16,movie ticket booking,1940,debit,entertainment,ACT Fibernet,Hyderabad
2024-11-28,uber ride,2680,credit,transport,Netflix,Delhi
2024-07-28,netflix subscription,2080,credit,fuel,Ola,Pune
2024-09-02,zomato food delivery,1720,debit,food,Jio,Pune
2024-03-22,uber ride,1750,credit,shopping,1mg,Hyderabad
2024-04-08,grocery store purchase,1510,debit,fuel,Insider,Hyderabad
2024-03-03,amazon purchase,1470,credit,shopping,MakeMyTrip,Chennai
2024-07-14,diesel refill,670,debit,fuel,Insider,Chennai
2024-07-06,ola cab ride,600,credit,transport,PlayStation,Mumbai
2024-12-17,prime video subscription,690,debit,food,Shell,Mumbai
2024-06-21,train booking,540,debit,entertainment,PlayStation,Bangalore
2024-12-15,petrol pump fuel,310,debit,transport,Vi,Mumbai
2024-12-04,bus ticket,260,credit,transport,Zomato,Hyderabad
2024-09-22,bus ticket,580,credit,transport,Reliance Smart,Delhi
2024-10-02,netflix subscription,1850,credit,subscription,Xbox,Hyderabad
2024-08-18,amazon purchase,930,credit,shopping,PVR,Bangalore
2024-08-18,train booking,370,debit,grocery,Blinkit,Chennai
2024-09-03,zomato food delivery,1090,debit,grocery,Vi,Chennai
2024-03-18,amazon purchase,280,debit,shopping,Airtel,Chennai
2024-09-16,grocery store purchase,1890,credit,shopping,Vi,Bangalore
2024-10-08,pharmacy medicine purchase,500,debit,shopping,Flipkart,Bangalore
2024-12-15,petrol pump fuel,1630,debit,fuel,MakeMyTrip,Hyderabad
2024-01-30,train booking,940,debit,subscription,Apple Music,Mumbai
2024-11-17,zomato food delivery,890,debit,food,PlayStation,Delhi
2024-06-03,movie ticket booking,300,debit,grocery,Netmeds,Mumbai
2024-02-13,flipkart shopping order,830,debit,shopping,1mg,Bangalore
2024-09-25,movie ticket booking,490,debit,shopping,Amazon,Delhi
2024-03-16,pharmacy medicine purchase,380,debit,shopping,PVR,Delhi
2024-03-10,petrol pump fuel,640,credit,fuel,Swiggy,Chennai
2024-12-22,uber ride,1290,credit,transport,BPCL,Chennai
2024-04-03,supermarket shopping,3650,credit,bills,Jio,Chennai
